date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:12	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.30.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:12	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:15%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:12	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.32.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:12	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:15%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:12	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.34.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:13	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:16%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:13	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.36.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:13	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:16%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:13	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.38.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:14	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:17%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:14	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.3a.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:14	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:17%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:14	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.3c.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:14	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:17%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:14	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.3e.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:15	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:18%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:15	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.40.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:15	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:18%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
16:15:15	0/-1	---M--	302	error ('')			https://sosyalmedyahizmetlerim.com/tickets	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/tickets.42.delayed	(from https://sosyalmedyahizmetlerim.com/services)
16:15:16	323/323	---M-Z	302	error ('Found')	text/html	date:Sun,%2025%20Sep%202022%2013:15:19%20GMT	https://sosyalmedyahizmetlerim.com/logout	C:/Users/kemal/Desktop/ssss/sosyalmedyahizmetlerim.com/logout	(from https://sosyalmedyahizmetlerim.com/services)
